name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,trans_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese,magnesium,potassium,calcium,copper,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
Açaí polpa com xarope de guaraná e glucose,,,0.7,21.5,3.7,110,0.7,,1.9,0.3,0.02,0.3,,,1.7,,,,1e-08,1e-08,1e-08,,7e-05,,,,0.0103,,,,0.00329,0.013,0.075,0.022,0.00014,0.0002,0.015,0.0003,0.011,,,,
Açaí polpa congelada,,,0.8,6.2,3.9,58,0.7,,2,0.4,0.02,0.35,,,2.6,,,,1e-08,4e-05,1e-08,,7e-05,,,,1e-08,,,,0.00616,0.017,0.124,0.035,0.00018,0.0003,0.005,0.0004,0.016,,,,
Acerola crua,,,0.9,8,0.2,33,,,,,,,,,1.5,,,0.000124,1e-08,4e-05,0.00138,,1e-08,,,,0.9414,,,,7e-05,0.013,0.165,0.013,7e-05,0.0001,1e-08,0.0002,0.009,,,,
Acerola polpa congelada,,,0.6,5.5,1e-05,22,,,,,,,,,0.7,,,9.6e-05,1e-08,0.0001,1e-08,,1e-08,,,,0.6232,,,,3e-05,0.009,0.112,0.008,4e-05,0.0001,0.001,0.0002,0.013,,,,
Ameixa calda enlatada,,,0.4,46.9,1e-05,183,,,,,,,,,0.5,,,,1e-08,0.00023,1e-08,,0.00037,,,,0.0043,,,,0.0001,0.01,0.221,0.013,3e-05,0.0001,0.003,0.0022,0.021,,,,
Ameixa crua,,,0.8,13.9,1e-05,53,,,,,,,,,2.4,,,1.4e-05,7e-05,1e-08,1e-08,,3e-05,,,,0.0076,,,,3e-05,0.005,0.134,0.006,6e-05,0.0001,1e-08,0.0001,0.014,,,,
Ameixa em calda enlatada drenada,,,1,47.7,0.3,177,0.1,,1e-05,0.1,0.01,0.07,,,4.5,,,,1e-08,0.00022,1e-08,,8e-05,,,,0.0052,,,,0.0002,0.014,0.263,0.039,0.00016,0.0002,0.003,0.0027,0.026,,,,
Atemóia crua,,,1,25.3,0.3,97,0.1,,1e-05,0.1,0.04,0.06,,,2.1,,,,9e-05,7e-05,0.00158,,7e-05,,,,0.0101,,,,0.00016,0.025,0.3,0.023,0.00017,0.0002,0.001,0.0002,0.023,,,,
Banana da terra crua,,,1.4,33.7,0.2,128,,,,,,,,,1.5,,,0.000119,3e-05,2e-05,1e-08,,0.00014,,,,0.0157,,,,0.00016,0.024,0.328,0.004,5e-05,0.0002,1e-08,0.0003,0.026,,,,
Banana doce em barra,,,2.2,75.7,0.1,280,,,,,,,,,3.8,,,1.4e-05,3e-05,1e-08,0.00141,,6e-05,,,,1e-08,,,,0.00084,0.049,0.518,0.012,0.00016,0.0003,0.01,0.0006,0.037,,,,
Banana figo crua,,,1.1,27.8,0.1,105,,,,,,,,,2.8,,,,9e-05,1e-08,1e-08,,3e-05,,,,0.0175,,,,0.00021,0.03,0.387,0.006,6e-05,0.0001,1e-08,0.0002,0.016,,,,
Banana maçã crua,,,1.8,22.3,0.1,87,,,,,,,,,2.6,,,3e-06,1e-08,1e-08,1e-08,,0.00014,,,,0.0105,,,,0.0006,0.024,0.264,0.003,0.00011,0.0001,1e-08,0.0002,0.029,,,,
Banana nanica crua,,,1.4,23.8,0.1,92,,,,,,,,,1.9,,,7e-06,1e-08,2e-05,1e-08,,0.00014,,,,0.0059,,,,0.00014,0.028,0.376,0.003,0.0001,0.0002,1e-08,0.0003,0.027,,,,
Banana ouro crua,,,1.5,29.3,0.2,112,,,,,,,,,2,,,2.5e-05,1e-08,1e-08,1e-08,,0.00014,,,,0.0076,,,,9e-05,0.028,0.355,0.003,8e-05,0.0003,1e-08,0.0003,0.022,,,,
Banana pacova crua,,,1.2,20.3,0.1,78,,,,,,,,,2,,,,5e-05,3e-05,1e-08,,0.00017,,,,1e-08,,,,0.00041,0.03,0.267,0.005,6e-05,0.0001,0.001,0.0004,0.02,,,,
Banana prata crua,,,1.3,26,0.1,98,,,,,,,,,2,,,1.6e-05,1e-08,2e-05,1e-08,,0.0001,,,,0.0216,,,,0.00042,0.026,0.358,0.008,5e-05,0.0001,1e-08,0.0004,0.022,,,,
Cacau cru,,,1,19.4,0.1,74,,,,,,,,,2.2,,,,0.00025,1e-08,1e-08,,4e-05,,,,0.0136,,,,4e-05,0.025,0.072,0.012,0.00015,0.0006,0.001,0.0003,0.009,,,,
Cajá-Manga cru,,,1.3,11.4,1e-05,46,,,,,,,,,2.6,,,,0.00011,1e-08,1e-08,,5e-05,,,,0.0267,,,,5e-05,0.011,0.119,0.013,2e-05,0.0002,0.001,0.0002,0.024,,,,
Cajá polpa congelada,,,0.6,6.4,0.2,26,,,,,,,,,1.4,,,5.3e-05,4e-05,1e-08,1e-08,,1e-08,,,,1e-08,,,,7e-05,0.007,0.148,0.009,0.0001,0.0001,0.007,0.0003,0.026,,,,
Caju cru,,,1,10.3,0.3,43,,,,,,,,,1.7,,,7e-06,1e-08,1e-08,1e-08,,1e-08,,,,0.2193,,,,0.00012,0.01,0.124,0.001,7e-05,0.0001,0.003,0.0002,0.016,,,,
Caju polpa congelada,,,0.5,9.4,0.2,37,,,,,,,,,0.8,,,1.1e-05,1e-08,2e-05,0.00225,,1e-08,,,,0.1197,,,,5e-05,0.007,0.088,0.001,7e-05,0.0001,0.004,0.0001,0.01,,,,
Caju suco concentrado envasado,,,0.4,10.7,0.2,45,,,,,,,,,0.6,,,5e-06,1e-08,3e-05,1e-08,,1e-08,,,,0.1387,,,,6e-05,0.008,0.107,0.001,4e-05,0.0001,0.045,0.0001,0.011,,,,
Caqui chocolate cru,,,0.4,19.3,0.1,71,,,,,,,,,6.5,,,,1e-08,1e-08,1e-08,,3e-05,,,,0.0296,,,,0.00039,0.009,0.164,0.018,1e-08,0.0002,0.002,0.0001,0.018,,,,
Carambola crua,,,0.9,11.5,0.2,46,,,,,,,,,2,,,,0.00012,1e-08,1e-08,,1e-08,,,,0.0609,,,,0.00013,0.007,0.133,0.005,8e-05,0.0002,0.004,0.0002,0.011,,,,
Ciriguela crua,,,1.4,18.9,0.4,76,0.2,,1e-05,0.1,0.03,0.07,,,3.9,,,,0.00014,1e-08,1e-08,,1e-08,,,,0.027,,,,6e-05,0.018,0.248,0.027,0.00012,0.0005,0.002,0.0004,0.049,,,,
Cupuaçu cru,,,1.2,10.4,1,49,0.4,,0.2,0.1,0.09,0.03,,,3.1,,,,0.00037,4e-05,0.00434,,7e-05,,,,0.0245,,,,7e-05,0.018,0.331,0.013,7e-05,0.0003,0.003,0.0005,0.021,,,,
Cupuaçu polpa congelada,,,0.8,11.4,0.6,49,0.3,1e-05,0.1,1e-05,0.03,0.01,,,1.6,,,,7e-05,7e-05,1e-08,,5e-05,,,,0.0105,,,,0.00017,0.014,0.291,0.005,0.00014,0.0002,0.001,0.0003,0.014,,,,
Figo cru,,,1,10.2,0.2,41,,,,,,,,,1.8,,,,5e-05,1e-08,1e-08,,1e-08,,,,0.0008,,,,6e-05,0.011,0.174,0.027,0.00013,0.0001,1e-08,0.0002,0.015,,,,
Figo enlatado em calda,,,0.6,50.3,0.2,184,,,,,,,,,2,,,,1e-08,1e-08,1e-08,,1e-08,,,,0.0052,,,,0.00016,0.007,0.039,0.033,0.00025,0.0001,0.007,0.0005,0.006,,,,
Fruta-pão crua,,,1.1,17.2,0.2,67,0.1,,1e-05,1e-05,0.02,0.01,,,5.5,,,,3e-05,1e-08,1e-08,,1e-08,,,,0.0099,,,,4e-05,0.024,0.188,0.034,7e-05,0.0001,0.001,0.0002,0.027,,,,
Goiaba branca com casca crua,,,0.9,12.4,0.5,52,0.1,,1e-05,0.2,1e-05,0.23,,,6.3,,,,1e-08,1e-08,1e-08,,3e-05,,,,0.0992,,,,7e-05,0.007,0.22,0.005,4e-05,0.0002,1e-08,0.0002,0.016,,,,
Goiaba doce em pasta,,,0.6,74.1,0,269,,,,,,,,,3.7,,,6.8e-05,7e-05,1e-08,1e-08,,1e-08,,,,0.0231,,,,0.00011,0.006,0.165,0.01,6e-05,0.0001,0.004,0.0004,0.054,,,,
Goiaba doce cascão,,,0.4,78.7,0.1,286,,,,,,,,,4.4,,,2.5e-05,1e-08,1e-08,0.00141,,1e-08,,,,0.0343,,,,0.00016,0.01,0.251,0.015,8e-05,0.0001,0.011,0.0004,0.028,,,,
Goiaba vermelha com casca crua,,,1.1,13,0.4,54,0.1,,1e-05,0.3,1e-05,0.26,,,6.2,,,1.9e-05,1e-08,1e-08,1e-08,,3e-05,,,,0.0806,,,,9e-05,0.007,0.198,0.004,4e-05,0.0001,1e-08,0.0002,0.015,,,,
Graviola crua,,,0.8,15.8,0.2,62,1e-05,,0.1,1e-05,0.02,0.01,,,1.9,,,,0.00017,0.00012,1e-08,,3e-05,,,,0.0191,,,,8e-05,0.023,0.25,0.04,4e-05,0.0001,0.004,0.0002,0.019,,,,
Graviola polpa congelada,,,0.6,9.8,0.1,38,,,,,,,,,1.2,,,,1e-08,9e-05,1e-08,,1e-08,,,,0.0105,,,,6e-05,0.01,0.17,0.006,6e-05,0.0001,0.003,0.0001,0.017,,,,
Jabuticaba crua,,,0.6,15.3,0.1,58,,,,,,,,,2.3,,,,6e-05,1e-08,1e-08,,1e-08,,,,0.0162,,,,0.0003,0.018,0.13,0.008,7e-05,0.0003,1e-08,0.0001,0.015,,,,
Jaca crua,,,1.4,22.5,0.3,88,0.1,,0.1,1e-05,0.02,1e-05,,,2.4,,,,0.0001,4e-05,1e-08,,5e-05,,,,0.0148,,,,0.00048,0.04,0.234,0.011,9e-05,0.0002,0.002,0.0004,0.014,,,,
Jambo cru,,,0.9,6.5,0.1,27,,,,,,,,,5.1,,,,8e-05,1e-08,0.00118,,1e-08,,,,0.0038,,,,5e-05,0.014,0.135,0.014,2e-05,0.0001,0.022,0.0001,0.018,,,,
Jamelão cru,,,0.5,10.6,0.1,41,,,,,,,,,1.8,,,4e-06,0.00017,1e-08,1e-08,,0.00012,,,,0.0271,,,,1e-08,0.002,0.394,0.003,3e-05,0,0.001,0,0.004,,,,
Kiwi cru,,,1.3,11.5,0.6,51,0.1,,0.1,0.3,0.29,0.06,,,2.7,,,3e-06,1e-08,1e-08,1e-08,,6e-05,,,,0.0708,,,,5e-05,0.011,0.269,0.024,0.00015,0.0001,1e-08,0.0003,0.033,,,,
Laranja baía crua,,,1,11.5,0.1,45,,,,,,,,,1.1,,,2e-06,6e-05,2e-05,1e-08,,1e-08,,,,0.0569,,,,4e-05,0.009,0.174,0.035,4e-05,0.0001,1e-08,0.0001,0.024,,,,
Laranja baía suco,,,0.7,8.7,1e-05,37,,,,,,,,,1e-05,,,2e-06,3e-05,1e-08,1e-08,,2e-05,,,,0.0945,,,,2e-05,0.008,0.173,0.006,2e-05,1e-08,1e-08,0.0001,0.022,,,,
Laranja da terra crua,,,1.1,12.9,0.2,51,,,,,,,,,4,,,,7e-05,9e-05,1e-08,,3e-05,,,,0.0347,,,,4e-05,0.014,0.173,0.051,4e-05,0.0002,0.001,0.0001,0.02,,,,
Laranja da terra suco,,,0.7,9.6,0.1,41,,,,,,,,,1,,,2e-06,4e-05,1e-08,1e-08,,4e-05,,,,0.0443,,,,2e-05,0.01,0.145,0.013,2e-05,0.0001,1e-08,0.0001,0.015,,,,
Laranja lima crua,,,1.1,11.5,0.1,46,,,,,,,,,1.8,,,,9e-05,5e-05,1e-08,,4e-05,,,,0.0435,,,,5e-05,0.01,0.13,0.031,3e-05,0.0001,0.001,0.0001,0.015,,,,
Laranja lima suco,,,0.7,9.2,0.1,39,,,,,,,,,0.4,,,,0.0001,3e-05,1e-08,,4e-05,,,,0.0413,,,,2e-05,0.011,0.129,0.008,2e-05,0,1e-08,1e-08,0.016,,,,
Laranja pêra crua,,,1,8.9,0.1,37,,,,,,,,,0.8,,,0,7e-05,2e-05,1e-08,,2e-05,,,,0.0537,,,,5e-05,0.009,0.163,0.022,3e-05,0.0001,1e-08,0.0001,0.023,,,,
Laranja pêra suco,,,0.7,7.6,0.1,33,,,,,,,,,1e-05,,,1e-06,1e-08,1e-08,1e-08,,1e-08,,,,0.0733,,,,3e-05,0.008,0.149,0.007,1e-05,1e-08,1e-08,1e-08,0.014,,,,
Laranja valência crua,,,0.8,11.7,0.2,46,,,,,,,,,1.7,,,,7e-05,4e-05,1e-08,,3e-05,,,,0.0478,,,,6e-05,0.014,0.158,0.034,4e-05,0.0001,0.001,0.0001,0.02,,,,
Laranja valência suco,,,0.5,8.6,0.1,36,,,,,,,,,0.4,,,1e-06,,,1e-08,,3e-05,,,,,,,,3e-05,0.01,0.143,0.009,2e-05,1e-08,1e-08,1e-08,0.017,,,,
Limão cravo suco,,,0.3,5.2,1e-05,14,,,,,,,,,1e-05,,,1.6e-05,1e-08,1e-08,1e-08,,1e-08,,,,0.0328,,,,3e-05,0.009,0.12,0.01,3e-05,,1e-08,0.0001,0.011,,,,
Limão galego suco,,,0.6,7.3,0.1,22,,,,,,,,,1e-05,,,,1e-08,1e-08,1e-08,,3e-05,,,,0.0345,,,,1e-05,0.006,0.113,0.005,2e-05,0.0001,1e-08,0.0001,0.013,,,,
Limão tahiti cru,,,0.9,11.1,0.1,32,,,,,,,,,1.2,,,,0.0003,4e-05,1e-08,,1e-08,,,,0.0382,,,,7e-05,0.01,0.128,0.051,6e-05,0.0002,0.001,0.0002,0.024,,,,
Maçã Argentina com casca crua,,,0.2,16.6,0.2,63,0.1,,1e-05,1e-05,0.01,0.04,,,2,,,,5e-05,1e-08,1e-08,,1e-08,,,,0.0015,,,,1e-05,0.005,0.117,0.003,3e-05,1e-08,0.001,0.0001,0.011,,,,
Maçã Fuji com casca crua,,,0.3,15.2,1e-05,56,,,,,,,,,1.3,,,2e-06,1e-08,1e-08,1e-08,,3e-05,,,,0.0024,,,,3e-05,0.002,0.075,0.002,6e-05,1e-08,1e-08,0.0001,0.009,,,,
Macaúba crua,,,2.1,13.9,40.7,404,7.1,,25.3,6.5,0.3,6.18,,,13.4,,,0.00051,0.00011,0.00011,1e-08,,3e-05,,,,0.0134,,,,8e-05,0.066,0.306,0.067,0.00035,0.0007,0.001,0.0008,0.044,,,,
Mamão doce em calda drenado,,,0.2,54,0.1,196,,,,,,,,,1.3,,,,3e-05,1e-08,1e-08,,1e-08,,,,0.0039,,,,2e-05,0.006,0.068,0.02,2e-05,0.0001,0.003,0.0001,0.004,,,,
Mamão Formosa cru,,,0.8,11.6,0.1,45,,,,,,,,,1.8,,,7.4e-05,3e-05,3e-05,1e-08,,1e-08,,,,0.0785,,,,4e-05,0.017,0.222,0.025,0.00136,0.0001,0.003,0.0002,0.011,,,,
Mamão Papaia cru,,,0.5,10.4,0.1,40,,,,,,,,,1,,,5.9e-05,3e-05,4e-05,0.00103,,1e-08,,,,0.0822,,,,1e-05,0.022,0.126,0.022,2e-05,0.0001,0.002,0.0002,0.011,,,,
Mamão verde doce em calda drenado,,,0.3,57.6,0.1,209,,,,,,,,,1.2,,,,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,4e-05,0.005,0.009,0.012,2e-05,0,0.005,0.0002,0.003,,,,
Manga Haden crua,,,0.4,16.7,0.3,64,0.1,,0.1,1e-05,0.02,0.02,,,1.6,,,8.1e-05,2e-05,6e-05,1e-08,,5e-05,,,,0.0174,,,,0.00017,0.008,0.148,0.012,0.0001,0.0001,0.001,0.0001,0.009,,,,
Manga Palmer crua,,,0.4,19.4,0.2,72,,,,,,,,,1.6,,,0.000393,9e-05,3e-05,1e-08,,1e-08,,,,0.0655,,,,5e-05,0.009,0.157,0.012,9e-05,0.0001,0.002,0.0001,0.014,,,,
Manga polpa congelada,,,0.4,12.5,0.2,48,0.1,,0.1,1e-05,0.02,0.01,,,1.1,,,,1e-08,7e-05,1e-08,,3e-05,,,,0.0249,,,,0.00012,0.009,0.131,0.007,6e-05,0.0001,0.007,0.0001,0.009,,,,
Manga Tommy Atkins crua,,,0.9,12.8,0.2,51,0.1,1e-05,0.1,1e-05,0.04,1e-05,,,2.1,,,5.9e-05,1e-08,4e-05,1e-08,,3e-05,,,,0.0079,,,,0.00034,0.007,0.138,0.008,6e-05,0.0001,1e-08,0.0001,0.014,,,,
Maracujá cru,,,2,12.3,2.1,68,0.2,,0.3,0.9,0.02,0.92,,,1.1,,,5.7e-05,1e-08,5e-05,1e-08,,5e-05,,,,0.0198,,,,0.00012,0.028,0.338,0.005,0.00019,0.0004,0.002,0.0006,0.051,,,,
Maracujá polpa congelada,,,0.8,9.6,0.2,39,,,,,,,,,0.5,,,,1e-08,9e-05,1e-08,,6e-05,,,,0.0073,,,,7e-05,0.01,0.228,0.005,5e-05,0.0002,0.008,0.0003,0.015,,,,
Maracujá suco concentrado envasado,,,0.8,9.6,0.2,42,,,,,,,,,0.4,,,,1e-08,8e-05,0.00192,,5e-05,,,,0.0137,,,,7e-05,0.004,0.201,0.004,5e-05,0.0001,0.022,0.0003,0.014,,,,
Melancia crua,,,0.9,8.1,1e-05,33,,,,,,,,,0.1,,,3.1e-05,1e-08,1e-08,1e-08,,1e-08,,,,0.0061,,,,0.00014,0.01,0.104,0.008,4e-05,0.0001,1e-08,0.0002,0.012,,,,
Melão cru,,,0.7,7.5,1e-05,29,,,,,,,,,0.3,,,1e-06,1e-08,1e-08,1e-08,,2e-05,,,,0.0087,,,,5e-05,0.006,0.216,0.003,4e-05,0.0001,0.011,0.0002,0.01,,,,
Mexerica Murcote crua,,,0.9,14.9,0.1,58,,,,,,,,,3.1,,,,8e-05,7e-05,1e-08,,5e-05,,,,0.0218,,,,5e-05,0.012,0.159,0.033,6e-05,0.0001,0.001,0.0001,0.019,,,,
Mexerica Rio crua,,,0.7,9.3,0.1,37,,,,,,,,,2.7,,,,3e-05,1e-08,1e-08,,1e-08,,,,0.112,,,,5e-05,0.008,0.125,0.017,7e-05,0.0002,0.002,0.0001,0.014,,,,
Morango cru,,,0.9,6.8,0.3,30,,,,,,,,,1.7,,,,1e-08,3e-05,1e-08,,3e-05,,,,0.0636,,,,0.00033,0.01,0.184,0.011,6e-05,0.0002,1e-08,0.0003,0.022,,,,
Nêspera crua,,,0.3,11.5,1e-05,43,,,,,,,,,3,,,8.5e-05,1e-08,1e-08,1e-08,,1e-08,,,,0.0032,,,,7e-05,0.01,0.113,0.02,0.00012,0.0001,1e-08,0.0001,0.01,,,,
Pequi cru,,,2.3,13,18,205,,,,,,,,,19,,,3e-05,0.00017,0.00048,0.00257,,6e-05,,,,0.0083,,,,0.00064,0.03,0.298,0.032,0.00021,0.001,1e-08,0.0003,0.034,,,,
Pêra Park crua,,,0.2,16.1,0.2,61,0.1,,1e-05,0.1,0.01,0.05,,,3,,,,6e-05,1e-08,1e-08,,1e-08,,,,0.0024,,,,4e-05,0.006,0.102,0.009,8e-05,0.0001,0.001,0.0003,0.012,,,,
Pêra Williams crua,,,0.6,14,0.1,53,,,,,,,,,3,,,,1e-08,1e-08,1e-08,,1e-08,,,,0.0028,,,,4e-05,0.006,0.116,0.008,7e-05,0.0001,1e-08,0.0001,0.012,,,,
Pêssego Aurora cru,,,0.8,9.3,1e-05,36,,,,,,,,,1.4,,,,5e-05,1e-08,1e-08,,1e-08,,,,0.0033,,,,5e-05,0.004,0.124,0.003,2e-05,0.0001,1e-08,0.0002,0.015,,,,
Pêssego enlatado em calda,,,0.7,16.9,1e-05,63,,,,,,,,,1,,,2.4e-05,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,3e-05,0.004,0.095,0.004,4e-05,0.0001,0.003,0.0006,0.009,,,,
Pinha crua,,,1.5,22.4,0.3,88,0.1,,1e-05,0.1,0.04,0.08,,,3.4,,,,0.00012,4e-05,1e-08,,9e-05,,,,0.0359,,,,0.00015,0.031,0.283,0.021,0.00011,0.0002,0.001,0.0002,0.034,,,,
Pitanga crua,,,0.9,10.2,0.2,41,,,,,,,,,3.2,,,7.7e-05,3e-05,0.0001,1e-08,,1e-08,,,,0.0249,,,,0.00036,0.012,0.113,0.018,8e-05,0.0004,0.002,0.0004,0.013,,,,
Pitanga polpa congelada,,,0.3,4.8,0.1,19,,,,,,,,,0.7,,,7.3e-05,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,5e-05,0.006,0.087,0.008,6e-05,0.0001,0.005,0.0004,0.012,,,,
Romã crua,,,0.4,15.1,1e-05,56,,,,,,,,,0.4,,,,0.00012,0.00017,1e-08,,5e-05,,,,0.0081,,,,0.00013,0.013,0.485,0.005,0.00019,0.0007,0.001,0.0003,0.04,,,,
Tamarindo cru,,,3.2,72.5,0.5,276,0.1,1e-05,0.2,1e-05,0.02,0.02,,,6.4,,,,0.00031,1e-08,1e-08,,0.0001,,,,0.0072,,,,0.00034,0.059,0.723,0.037,0.00029,0.0007,0,0.0006,0.055,,,,
Tangerina Poncã crua,,,0.8,9.6,0.1,38,,,,,,,,,0.9,,,2.4e-05,6e-05,2e-05,1e-08,,2e-05,,,,0.0488,,,,4e-05,0.008,0.131,0.013,3e-05,1e-08,1e-08,0.0001,0.012,,,,
Tangerina Poncã suco,,,0.5,8.8,1e-05,36,,,,,,,,,1e-05,,,2.6e-05,6e-05,1e-08,1e-08,,3e-05,,,,0.0418,,,,2e-05,0.006,0.119,0.004,2e-05,1e-08,1e-08,1e-08,0.009,,,,
Tucumã cru,,,2.1,26.5,19.1,262,4.7,,9.7,0.9,0.58,0.3,,,12.7,,,0.001181,4e-05,1e-08,1e-08,,0.00011,,,,0.018,,,,0.00055,0.121,0.401,0.046,0.00039,0.0009,0.004,0.0006,0.053,,,,
Umbu cru,,,0.8,9.4,1e-05,37,,,,,,,,,2,,,,5e-05,6e-05,1e-08,,3e-05,,,,0.0241,,,,3e-05,0.011,0.152,0.012,4e-05,0.0004,1e-08,0.0001,0.013,,,,
Umbu polpa congelada,,,0.5,8.8,0.1,34,,,,,,,,,1.3,,,,1e-08,6e-05,1e-08,,1e-08,,,,0.004,,,,5e-05,0.008,0.154,0.011,4e-05,0.0001,0.006,0.0002,0.013,,,,
Uva Itália crua,,,0.7,13.6,0.2,53,,,,,,,,,0.9,,,3e-06,1e-08,1e-08,1e-08,,3e-05,,,,0.0033,,,,0.00013,0.005,0.162,0.007,0.00011,1e-08,1e-08,0.0001,0.012,,,,
Uva Rubi crua,,,0.6,12.7,0.2,49,,,,,,,,,0.9,,,,2e-05,2e-05,1e-08,,1e-08,,,,0.0019,,,,7e-05,0.006,0.159,0.008,5e-05,1e-08,0.008,0.0002,0.023,,,,
Uva suco concentrado envasado,,,1e-05,14.7,1e-05,58,,,,,,,,,0.2,,,,7e-05,2e-05,1e-08,,5e-05,,,,0.021,,,,0.0002,0.007,0.054,0.009,0.00013,0.0001,0.01,0.0001,0.01,,,,
Azeite de dendê,,,,,100,884,43.1,0.14,40.1,16.6,0.83,15.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azeite de oliva extra virgem,,,,,100,884,14.9,,75.5,9.5,0.75,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manteiga com sal,,,0.4,0.1,82.4,726,49.2,3.3,20.4,1.2,0.27,0.89,,,,0.201,,0.000924,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,1e-08,0.001,0.015,0.009,1e-08,1e-08,0.579,0.0002,0.028,,,,
Manteiga sem sal,,,0.4,0,86,758,51.5,2.82,21.9,1.5,0.27,1.22,,,,0.214,,0.001013,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,1e-08,0.001,0.005,0.004,4e-05,1e-08,0.004,1e-08,0.007,,,,
Margarina com óleo hidrogenado com sal (65% de lipídeos),,,1e-05,0,67.4,596,14.9,9.99,18.2,21.4,1.74,19.48,,,,,,0.000462,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,1e-08,0.001,0.021,0.006,1e-08,1e-08,0.894,0.0001,0.007,,,,
Margarina com óleo hidrogenado sem sal (80% de lipídeos),,,1e-05,0,81.7,723,,,,,,,,,,,,0.000534,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,1e-08,0.001,0.002,0.003,1e-08,1e-08,0.078,0.0001,0.004,,,,
Margarina com óleo interesterificado com sal (65%de lipídeos),,,1e-05,0,67.2,594,21.9,0.33,15,27.6,2.64,24.85,,,,,,0.000385,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,1e-08,0.001,0.015,0.005,1e-08,1e-08,0.561,1e-08,0.006,,,,
Margarina com óleo interesterificado sem sal (65% de lipídeos),,,1e-05,0,67.1,593,20.9,0.32,14.4,26.5,2.58,23.79,,,,,,0.000245,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,1e-08,0.001,0.005,0.005,1e-08,1e-08,0.033,0.0001,0.007,,,,
Óleo de babaçu,,,,,100,884,50.9,0.19,18.6,30.2,2.86,27.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óleo de canola,,,,,100,884,7.9,0.37,62.6,28.4,6.78,20.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óleo de girassol,,,,,100,884,10.8,1.14,25.4,62.6,0.39,62.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óleo de milho,,,,,100,884,15.2,0.48,33.4,50.9,0.96,49.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óleo de pequi,,,,,100,884,39.9,,55.8,4.2,0.51,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óleo de soja,,,,,100,884,15.2,0.5,23.3,60,5.72,53.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filé de Abadejo congelado assado,,,23.5,0,1.2,112,0.6,1e-05,0.3,0.1,0.13002,0.02001,,,,0.103,,1e-11,1e-08,1e-08,0.00044,,1e-08,,,,,,,,1e-08,0.02,0.156,0.023,3e-05,0.0005,0.334,0.0005,0.338,,,,
Filé de Abadejo congelado cozido,,,19.3,0,0.9,91,0.4,,0.3,0.2,0.14001,0.03001,,,,0.087,,1e-11,1e-08,1e-08,1e-08,,1e-08,,,,,,,,1e-08,0.016,0.146,0.017,3e-05,0.0004,0.189,0.0003,0.351,,,,
Filé de Abadejo congelado cru,,,13.1,0,0.4,59,0.1,,1e-05,0.1,0.09001,0.01001,,,,0.031,,1e-11,4e-05,1e-08,0.0046,,1e-08,,,,,,,,1e-05,0.014,0.148,0.01,0.00014,0.0004,0.079,0.0001,0.091,,,,
Filé de Abadejo congelado grelhado,,,27.6,0,1.3,130,0.6,,0.3,0.6,0.54,0.02001,,,,0.136,,6e-06,3e-05,1e-08,0.00044,,1e-08,,,,,,,,1e-08,0.022,0.279,0.02,1e-08,0.0004,0.305,0.0003,0.581,,,,
Atum conserva em óleo,,,26.2,0,6,166,1,0.04,1.3,3.2,0.51,2.71,,,,0.053,,1e-11,0.00015,3e-05,0.00317,,1e-08,,,,,,,,1e-08,0.029,0.28,0.007,4e-05,0.0006,0.362,0.0012,0.211,,,,
Atum fresco cru,,,25.7,0,0.9,118,0.5,1e-05,0.2,1e-05,0.02001,0.01001,,,,0.048,,2e-05,1e-08,4e-05,0.00594,,1e-08,,,,,,,,1e-08,0.032,0.308,0.007,9e-05,0.0004,0.03,0.0013,0.254,,,,
Bacalhau salgado cru,,,29,0,1.3,136,0.6,1e-05,0.3,0.2,0.16,0.05,,,,0.139,,1e-11,1e-08,0.00021,,,1e-08,,,,,,,,3e-05,0.049,0.434,0.157,9e-05,0.0007,13.585,0.0009,0.186,,,,
